question	output	answer
Which universities are alma mater to Charles Plosser?	University of Chicago, Vanderbilt University	The alma maters of Charles Plosser are University of Chicago, Vanderbilt University.
Name the basketball player who played for Phoenix Suns and Los Angeles Clippers was his draft team?	Tyson Chandler	Tyson Chandler is the basketball player whose team is Phoenix Suns and was drafted by Los Angeles Clippers.
Count the key people of the Clinton Foundation?	8	There are 8 key people in the Clinton Foundation.
What is the purpose of Maharashtra Chess Association ?	Chess	The purpose of Maharashtra Chess Association is Chess.
Tandem Computers is the subsidiary of which company?	Compaq	Tandem Computers is the subsidiary of Compaq.
List all the collaborators of the artist which has collaborated with sanremo Music Festival?	Eurovision Song Contest, Sanremo Music Festival, Al Bano and Romina Power, The Walt Disney Company, Billy Sheehan, Warren Cuccurullo, Aaron Carter, Hannah Montana, Vasco Rossi, Chicanery	The associate musical artists of the artists whose one associate is the Sanremo Music Festival are Eurovision Song Contest, Sanremo Music Festival, Al Bano and Romina Power, The Walt Disney Company, Billy Sheehan, Warren Cuccurullo, Aaron Carter, Hannah Montana, Vasco Rossi, Chicanery.
Who first ascended a mountain of Cathedral Peak (California)?	John Muir	The person that first ascended a mountain of Cathedral Peak (California) is John Muir.
Was Noko a band member of Luxuria?	Yes	Yes, Noko is a former band member of Luxuria.
How many other genre are there of the radio stations whose one of the genre is Classic rock?	680	There are 680 program formats of the radio stations whose one program format is Classic rock.
What are some products manufactured by Sony?	answer	The products manufactured by Sony are answer.
Name the sports played by Jamiatu Muslim Mindanao?	Association football, Badminton, Baseball, Basketball, Chess, Volleyball	The athletics of Jamiatu Muslim Mindanao are Association football, Badminton, Baseball, Basketball, Chess, Volleyball.
What is the allegiance of the Albert Kwesi Ocran and state of origin of the Jojo Chintoh?	Ghana	The allegiance of Albert Kwesi Ocran and state of origin of Jojo Chintoh is Ghana.
How many universities are there whose country's capital is Oslo?	58	There are 58 universities in the country where the capital is Oslo.
Members of how many political parties have died in Delhi?	8	There are 8 parties where their members died in Delhi.
Who is the musical artist worked for labels Celluloid Records and Victor Entertainment?	Fela Kuti	The musical artist whose labels are Celluloid Records and Victor Entertainment is Fela Kuti.
List the director of The Adventures of mimi?	Randy Jackson, Sanaa Hamri	The directors of The Adventures of Mimi are Randy Jackson, Sanaa Hamri.
Which governer of Winston bryant is also the president of Carl Stokes ?	Bill Clinton	The governor of Winston Bryant and president of Carl Stokes is Bill Clinton.
What magazines are form the Limited liability company?	Rolling Stone, Us Weekly, Milford Magazine, Horns Illustrated, Texas Music	The magazines from the Limited liability company are Rolling Stone, Us Weekly, Milford Magazine, Horns Illustrated, Texas Music.
Who wrote the play in which Blanche DuBois is a character?	Tennessee Williams	Tennessee Williams is the writer of the play whose character is Blanche DuBois.
In which areas are the radio stations of Monticello, Maine available too?	Europe, North America, Aroostook County, Maine	The area of the radio stations in the city of Monticello, Maine are Europe, North America, Aroostook County, Maine.
Which country gave birth to the Lemberger LD20b and Start+Flug H101 aircrafts?	West Germany	West Germany is the origin of both Lemberger LD20b and Start + Flug H-101.
